SchemaName,TableName,ColumnName,DataType
dbo,HIST_Component,ID,int
dbo,HIST_Component,Name,varchar
dbo,HIST_ComponentMetric,ID,int
dbo,HIST_ComponentMetric,Component,varchar
dbo,HIST_ComponentMetric,Instance,varchar
dbo,HIST_ComponentMetric,Metric,varchar
dbo,HIST_ComponentMetric,ChartTitle,nvarchar
dbo,HIST_ComponentMetric,ParameterTitle,nvarchar
dbo,HIST_ComponentMetric,Scale,numeric
dbo,HIST_ComponentMetric,SnapSeconds,int
dbo,HIST_ComponentMetric,ChartModifiers,nvarchar
dbo,HIST_ComponentMetric,DataModifiers,nvarchar
dbo,HIST_ComponentMetric,Agregate,nvarchar
dbo,HIST_ComponentMetric,SnapSecDaily,int
dbo,HIST_ComponentMetric,TTLMinSec,int
dbo,HIST_ComponentMetric,TTLMaxSec,int
dbo,HIST_Device,ID,int
dbo,HIST_Device,Name,varchar
dbo,HIST_ErrorCode,Code,int
dbo,HIST_ErrorCode,Name,varchar
dbo,HIST_ErrorCode,Description,varchar
dbo,HIST_Instance,ID,int
dbo,HIST_Instance,Name,varchar
dbo,HIST_LogEvent,T,datetime
dbo,HIST_LogEvent,DeviceID,int
dbo,HIST_LogEvent,ComponentID,int
dbo,HIST_LogEvent,InstanceID,int
dbo,HIST_LogEvent,Severity,smallint
dbo,HIST_LogEvent,ErrorCode,int
dbo,HIST_LogEvent,Message,nvarchar
dbo,HIST_Metric,ID,int
dbo,HIST_Metric,Name,varchar
dbo,HIST_Quad,ID,int
dbo,HIST_Quad,DeviceID,int
dbo,HIST_Quad,ComponentID,int
dbo,HIST_Quad,InstanceID,int
dbo,HIST_Quad,MetricID,int
dbo,HIST_Quad,CounterSizeInBits,int
dbo,HIST_Sample,T,datetime
dbo,HIST_Sample,K,int
dbo,HIST_Sample,V,float
dbo,HIST_Sample_Daily,T,datetime
dbo,HIST_Sample_Daily,K,int
dbo,HIST_Sample_Daily,V,float
dbo,HIST_Sample_Daily,cnt,int
dbo,HIST_Sample_Daily,agregate,nvarchar
dbo,HIST_Sample_Daily,PeriodStepSecs,int
dbo,HIST_Sample10m,T,smalldatetime
dbo,HIST_Sample10m,K,int
dbo,HIST_Sample10m,C,int
dbo,HIST_Sample10m,S,float
dbo,HIST_Sample10m,N,float
dbo,HIST_Sample10m,X,float
dbo,HIST_Sample1h,T,smalldatetime
dbo,HIST_Sample1h,K,int
dbo,HIST_Sample1h,C,int
dbo,HIST_Sample1h,S,float
dbo,HIST_Sample1h,N,float
dbo,HIST_Sample1h,X,float
dbo,HIST_Sample1m,T,smalldatetime
dbo,HIST_Sample1m,K,int
dbo,HIST_Sample1m,C,int
dbo,HIST_Sample1m,S,float
dbo,HIST_Sample1m,N,float
dbo,HIST_Sample1m,X,float
dbo,HIST_State,Created,datetime
dbo,HIST_State,Keepalive,datetime
dbo,HIST_State,DeviceID,int
dbo,HIST_State,ComponentID,int
dbo,HIST_State,InstanceID,int
dbo,HIST_State,ErrorCode,int
dbo,HIST_State,Severity,smallint
dbo,HIST_State,Description,nvarchar
