SchemaName,TableName,ColumnName,DataType
dbo,AUTH_CURRENT_SESSION,ID,int
dbo,AUTH_CURRENT_SESSION,SID,uniqueidentifier
dbo,AUTH_CURRENT_SESSION,LOGIN_ID,int
dbo,AUTH_CURRENT_SESSION,HOST,varchar
dbo,AUTH_CURRENT_SESSION,TS,datetime
dbo,AUTH_CURRENT_SESSION,RAW_PLATFORM,varchar
dbo,AUTH_CURRENT_SESSION,RAW_SCREEN_INFO,varchar
dbo,AUTH_CURRENT_SESSION,RAW_USER_AGENT,varchar
dbo,AUTH_CURRENT_SESSION,RAW_ACCEPT_LANGUAGE,varchar
dbo,AUTH_DENY_HISTORY,LOGIN_ID,int
dbo,AUTH_DENY_HISTORY,HOST,varchar
dbo,AUTH_DENY_HISTORY,TS,datetime
dbo,AUTH_DENY_HISTORY,REASON,int
dbo,AUTH_GROUP,ID,int
dbo,AUTH_GROUP,NAME,varchar
dbo,AUTH_GROUP,PERMITTED_TILL,datetime
dbo,AUTH_GROUP,LOCKED,numeric
dbo,CDN_Channels,id,int
dbo,CDN_Channels,OperatorID,int
dbo,CDN_Channels,VersionID,int
dbo,CDN_Channels,Name,nvarchar
dbo,CDN_Channels,StreamID,int
dbo,CDN_Channels,Comments,nvarchar
dbo,CDN_Channels,CASID,int
dbo,CDN_Channels,BufferStream,int
dbo,CDN_Channels,IndexFrames,int
dbo,CDN_Channels,ClearBit,int
dbo,CDN_Channels,RegenCounters,int
dbo,CDN_Channels,PrimarySourceID,int
dbo,CDN_Channels,HTTPreqID,int
dbo,CDN_Channels,BufferSpeed,int
dbo,CDN_Channels,UnbuffHTTPreqID,int
dbo,CDN_Channels,MulticastAddr,nvarchar
dbo,CDN_Channels,UPDDATE,datetime
dbo,CDN_Channels,USERID,int
dbo,CDN_Channels_Sources,id,int
dbo,CDN_Channels_Sources,ChannelID,int
dbo,CDN_Channels_Sources,SupplierID,int
dbo,CDN_Channels_Sources,url,nvarchar
dbo,CDN_Channels_Sources,Enabled,int
dbo,CDN_Channels_Sources,UPDDATE,datetime
dbo,CDN_Channels_Sources,USERID,int
dbo,CDN_Devices,id,int
dbo,CDN_Devices,OperatorID,int
dbo,CDN_Devices,VersionID,int
dbo,CDN_Devices,RegionID,int
dbo,CDN_Devices,Name,nvarchar
dbo,CDN_Devices,Role,int
dbo,CDN_Devices,Comments,nvarchar
dbo,CDN_Devices,PrimarySource,int
dbo,CDN_Devices,SecondarySource,int
dbo,CDN_Devices,TertiarySource,int
dbo,CDN_Devices,ManagementAddress,nvarchar
dbo,CDN_Devices,MulticastInterface,nvarchar
dbo,CDN_Devices,MulticastVLAN,nvarchar
dbo,CDN_Devices,TemplateID,int
dbo,CDN_Devices,UPDDATE,datetime
dbo,CDN_Devices,USERID,int
dbo,CDN_Devices_Addresses,id,int
dbo,CDN_Devices_Addresses,DeviceID,int
dbo,CDN_Devices_Addresses,IP,nvarchar
dbo,CDN_Devices_Addresses,Comment,nvarchar
dbo,CDN_Devices_Addresses,UPDDATE,datetime
dbo,CDN_Devices_Addresses,USERID,int
dbo,CDN_Devices_Channels,id,int
dbo,CDN_Devices_Channels,DeviceID,int
dbo,CDN_Devices_Channels,ChannelID,int
dbo,CDN_Devices_Channels,Status,int
dbo,CDN_Regions,id,int
dbo,CDN_Regions,OperatorID,int
dbo,CDN_Regions,Name,nvarchar
dbo,CDN_Regions,Comments,nvarchar
dbo,CDN_Regions,Deleted,int
dbo,CDN_Regions,UPDDATE,datetime
dbo,CDN_Regions,USERID,int
dbo,CDN_Suppliers,id,int
dbo,CDN_Suppliers,OperatorID,int
dbo,CDN_Suppliers,Name,nvarchar
dbo,CDN_Suppliers,Comments,nvarchar
dbo,CDN_Suppliers,Deleted,int
dbo,CDN_Suppliers,UPDDATE,datetime
dbo,CDN_Suppliers,USERID,int
dbo,CDN_Versions,id,int
dbo,CDN_Versions,OperatorID,int
dbo,CDN_Versions,Name,nvarchar
dbo,CDN_Versions,Comments,nvarchar
dbo,CDN_Versions,CASPID,int
dbo,CDN_Versions,IndexPID,int
dbo,CDN_Versions,HTTPPort,int
dbo,CDN_Versions,UDPPort,int
dbo,CDN_Versions,PreferBuffered,int
dbo,CDN_Versions,SetAllCoreSources,int
dbo,CDN_Versions,Type,int
dbo,CDN_Versions,UPDDATE,datetime
dbo,CDN_Versions,USERID,int
dbo,CUTV_Category,ID,int
dbo,CUTV_Category,Name,nvarchar
dbo,CUTV_Category,Description,nvarchar
dbo,CUTV_ExtractAndCleanRule,ID,int
