SchemaName,TableName,ColumnName,DataType
dbo,CMTS,ID,int
dbo,CMTS,name,nvarchar
dbo,CMTS,IPAddress,nvarchar
dbo,CMTS,City,nvarchar
dbo,CMTS,OwnerID,int
dbo,CMTS,Active,int
dbo,CMTS,DHCPURL,nvarchar
dbo,CMTS,infoURL,nvarchar
dbo,CMTS,RRD_host,nvarchar
dbo,CMTS_SECTOR,ID,int
dbo,CMTS_SECTOR,NAME,nvarchar
dbo,CMTS_SECTOR,Description,nvarchar
dbo,CMTS_SECTOR,CapacityMbps,numeric
dbo,CWMP_DATA_MODELS,ID,int
dbo,CWMP_DATA_MODELS,Model,varchar
dbo,CWMP_DATA_MODELS,Version,varchar
dbo,CWMP_DATA_MODELS,DefinitionUrl,varchar
dbo,CWMP_DEV_TYPES,ID,int
dbo,CWMP_DEV_TYPES,Manufacturer,nvarchar
dbo,CWMP_DEV_TYPES,ProductClass,varchar
dbo,CWMP_DEV_TYPES,RootObject,varchar
dbo,CWMP_DEV_TYPES,MonitoredParams,varchar
dbo,CWMP_DEV_TYPES,InitParams,varchar
dbo,CWMP_DEV_TYPES,DataModelID,int
dbo,CWMP_DEVICES,ID,int
dbo,CWMP_DEVICES,Manufacturer,nvarchar
dbo,CWMP_DEVICES,OrganizationID,varchar
dbo,CWMP_DEVICES,ProductClass,varchar
dbo,CWMP_DEVICES,SerialNo,varchar
dbo,CWMP_DEVICES,DeviceSummary,varchar
dbo,CWMP_DEVICES,Username,varchar
dbo,CWMP_DEVICES,Password,varchar
dbo,CWMP_DEVICES,URL,varchar
dbo,CWMP_DEVICES,MAC,char
dbo,CWMP_DEVICES,Upddate,datetime
dbo,CWMP_DEVICES,SoftwareVersion,varchar
dbo,CWMP_DEVICES,RemoteIP,varchar
dbo,CWMP_GRAPHICS,ID,int
dbo,CWMP_GRAPHICS,Name,varchar
dbo,CWMP_GRAPHICS,Title,varchar
dbo,CWMP_GRAPHICS,Scale,varchar
dbo,CWMP_GRAPHICS,Measure,varchar
dbo,CWMP_GRAPHICS,IsCounter,int
dbo,CWMP_MON_CONFIG,ID,int
dbo,CWMP_MON_CONFIG,ParamName,varchar
dbo,CWMP_MON_CONFIG,DevTypeID,int
dbo,CWMP_MON_CONFIG,IsDefault,int
dbo,CWMP_MON_CONFIG,HasGraphics,int
dbo,CWMP_MON_CONFIG,HasTrigger,int
dbo,CWMP_MON_CONFIG,GraphID,int
dbo,CWMP_MON_CONFIG,Upddate,datetime
dbo,CWMP_MON_CONFIG,PassiveParam,int
dbo,CWMP_MON_CONFIG_svd,ID,int
dbo,CWMP_MON_CONFIG_svd,ParamName,varchar
dbo,CWMP_MON_CONFIG_svd,DevTypeID,int
dbo,CWMP_MON_CONFIG_svd,IsDefault,int
dbo,CWMP_MON_CONFIG_svd,HasGraphics,int
dbo,CWMP_MON_CONFIG_svd,HasTrigger,int
dbo,CWMP_MON_CONFIG_svd,GraphID,int
dbo,CWMP_MON_CONFIG_svd,Upddate,datetime
dbo,CWMP_MON_CONFIG_svd,PassiveParam,int
dbo,CWMP_NEW_OBJECTS,ID,int
dbo,CWMP_NEW_OBJECTS,ParamName,varchar
dbo,CWMP_NEW_OBJECTS,ParamCount,int
dbo,CWMP_NEW_OBJECTS,DevTypeID,int
dbo,DeviceCommands,ID,int
dbo,DeviceCommands,Device,nvarchar
dbo,DeviceCommands,IP,varchar
dbo,DeviceCommands,Command,nvarchar
dbo,DeviceCommands,Created,datetime
dbo,DeviceCommands,Status,nvarchar
dbo,DeviceCommands,RetryCount,int
dbo,DeviceCommands,Response,nvarchar
dbo,DeviceCommands,ResponseIP,varchar
dbo,DeviceCommands,ID_OLD,int
dbo,DeviceCommands,UpdDate,datetime
dbo,DeviceCommands,USERID,int
dbo,dtproperties,id,int
dbo,dtproperties,objectid,int
dbo,dtproperties,property,varchar
dbo,dtproperties,value,varchar
dbo,dtproperties,uvalue,nvarchar
dbo,dtproperties,lvalue,image
dbo,dtproperties,version,int
dbo,LAN_DEVICES,mac,char
dbo,LAN_DEVICES,vlan,int
dbo,LAN_DEVICES,LANRouterID,int
dbo,LAN_DEVICES,Flags,char
