SchemaName,TableName,ColumnName,DataType
dbo,CDR,ID,int
dbo,CDR,CDRid,nvarchar
dbo,CDR,Duration,int
dbo,CDR,OriginSnap,nvarchar
dbo,CDR,DestSnap,nvarchar
dbo,CDR,EndTime,datetime
dbo,CDR,StartTime,datetime
dbo,CDR,UserName,nvarchar
dbo,CDR,Password,nvarchar
dbo,CDR,ServiceTypeID,int
dbo,CDR,TraficTypeID,int
dbo,CDR,TimeZoneID,int
dbo,CDR,DID,int
dbo,CDR,RID,int
dbo,CDR,RSID,int
dbo,CDR,CID,int
dbo,CDR,CLID,int
dbo,CDR,DEVID,int
dbo,CDR,GKID,int
dbo,CDR,Origin,nvarchar
dbo,CDR,Dest,nvarchar
dbo,CDR,OriginIP,nvarchar
dbo,CDR,OriginEndp,nvarchar
dbo,CDR,DestIP,nvarchar
dbo,CDR,DestEndp,nvarchar
dbo,CDR,FramedIP,nvarchar
dbo,CDR,FramedEndp,nvarchar
dbo,CDR,InputOctets,bigint
dbo,CDR,OutputOctets,bigint
dbo,CDR,TerminationCause,nvarchar
dbo,CDR,GKname,nvarchar
dbo,CDR,NOP,nvarchar
dbo,CDR,Upddate,datetime
dbo,CDR,COST,float
dbo,CDR,PRICE,float
dbo,CDR,IntPrice,float
dbo,CDR,IntCost,float
dbo,CDR,OverLimit,bit
dbo,CDR,InvNo,int
dbo,CDR,DCLID,int
dbo,CDR,PKID,uniqueidentifier
dbo,CDR,Main,int
dbo,CDR,SeqNo,int
dbo,CDR,RealDuration,int
dbo,CDR,Originating,bit
dbo,dtproperties,id,int
dbo,dtproperties,objectid,int
dbo,dtproperties,property,varchar
dbo,dtproperties,value,varchar
dbo,dtproperties,uvalue,nvarchar
dbo,dtproperties,lvalue,image
dbo,dtproperties,version,int
dbo,RKS,cdr_ets,int
dbo,RKS,cdr_eid,int
dbo,RKS,cdr_signal_start,datetime
dbo,RKS,cdr_signal_end,datetime
dbo,RKS,cdr_call_start,datetime
dbo,RKS,cdr_call_end,datetime
dbo,RKS,cdr_number_src,varchar
dbo,RKS,cdr_number_dst,varchar
dbo,RKS,cdr_number_chg,varchar
dbo,RKS,cdr_ctc,tinyint
dbo,RKS,cdr_endpoint,varchar
dbo,RKS,cdr_direction,smallint
dbo,RKS,cdr_cic,varchar
dbo,RKS,cdr_trunk_type,int
dbo,RKS,cdr_trunk_number,int
dbo,RKS,cdr_routing_number,varchar
dbo,RKS,cdr_duration,int
dbo,RKS,cdr_status,tinyint
dbo,RKS,cdr_backup_status,smallint
dbo,RKS,created_date,datetime
dbo,RKS,rr_id,smallint
dbo,RKS,rg_id,smallint
dbo,tcdr,id,int
dbo,tcdr,cdrid,nvarchar
dbo,tcdr,origin,nvarchar
dbo,tcdr,dest,nvarchar
dbo,tcdr,endtime,datetime
dbo,tcdr,starttime,datetime
dbo,tcdr,username,nvarchar
dbo,tcdr,id_old,int
dbo,tcdr,duration,int
dbo,tcdr,realDuration,int
dbo,tcdr,gkid,int
dbo,tcdr,originating,int
dbo,tcdr,legid,nvarchar
dbo,tcdr,did,int
dbo,tcdr,clid,int
dbo,tcdr,cid,int
dbo,tcdr,devid,int
dbo,tcdr,tusername,nvarchar
dbo,Telemetry,ID,int
dbo,Telemetry,Device,char
dbo,Telemetry,Type,char
dbo,Telemetry,Resource,char
dbo,Telemetry,StartPosition,datetime
dbo,Telemetry,EndTime,datetime
dbo,Telemetry,Duration,int
dbo,Telemetry,Subscriber,varchar
dbo,Telemetry,SessionStart,datetime
dbo,Telemetry,SessionEnd,datetime
dbo,VOIPACCT_CDR,ID,int
dbo,VOIPACCT_CDR,MAIN,int
dbo,VOIPACCT_CDR,SEQNO,int
dbo,VOIPACCT_CDR,CDRID,varchar
dbo,VOIPACCT_CDR,CALLING_STATION,varchar
dbo,VOIPACCT_CDR,CALLED_STATION,varchar
dbo,VOIPACCT_CDR,USERNAME,varchar
dbo,VOIPACCT_CDR,FRAMED_IP,varchar
dbo,VOIPACCT_CDR,DURATION,int
dbo,VOIPACCT_CDR,REAL_DURATION,int
dbo,VOIPACCT_CDR,START_TIME,datetime
dbo,VOIPACCT_CDR,END_TIME,datetime
dbo,VOIPACCT_CDR,REAL_END_TIME,datetime
dbo,VOIPACCT_CDR,TRAFFIC_TYPE,int
dbo,VOIPACCT_CDR,TIME_ZONE,int
dbo,VOIPACCT_CDR,DESTINATION,int
dbo,VOIPACCT_CDR,RATING_PLAN,int
dbo,VOIPACCT_CDR,SERVICE_RATE,int
dbo,VOIPACCT_CDR,CLIENT,int
dbo,VOIPACCT_CDR,CONTRACT,int
dbo,VOIPACCT_CDR,DEVICE,int
dbo,VOIPACCT_CDR,GATEKEEPER,int
dbo,VOIPACCT_CDR,UNIT_PRICE,numeric
dbo,VOIPACCT_CDR,COST,numeric
dbo,VOIPACCT_CDR,INT_COST,numeric
dbo,VOIPACCT_CDR,OVERLIMIT,bit
dbo,VOIPACCT_CDR,ORIGINATING,bit
