SchemaName,TableName,ColumnName,DataType
dbo,AssignmentRules,ID,int
dbo,AssignmentRules,Priority,int
dbo,AssignmentRules,State,nvarchar
dbo,AssignmentRules,ServiceID,int
dbo,AssignmentRules,OpenReasonID,int
dbo,AssignmentRules,TechDeptID,int
dbo,AssignmentRules,TechRegionID,int
dbo,AssignmentRules,TechGroupID,int
dbo,AssignmentRules,DestState,nvarchar
dbo,AssignmentRules,DestOpenReasonID,int
dbo,AssignmentRules,DestCloseReasonID,int
dbo,AssignmentRules,DestTechDeptID,int
dbo,AssignmentRules,DestTechRegionID,int
dbo,AssignmentRules,DestTechGroupID,int
dbo,AssignmentRules,ID_OLD,int
dbo,AssignmentRules,UpdDate,datetime
dbo,AssignmentRules,USERID,int
dbo,AssignmentRules,TypeID,int
dbo,AssignmentRules,DestTypeID,int
dbo,AssignmentRules,OnlyFirst,int
dbo,AssignmentRules_OLD,ID,int
dbo,AssignmentRules_OLD,Priority,int
dbo,AssignmentRules_OLD,State,nvarchar
dbo,AssignmentRules_OLD,ServiceID,int
dbo,AssignmentRules_OLD,OpenReasonID,int
dbo,AssignmentRules_OLD,TechDeptID,int
dbo,AssignmentRules_OLD,TechRegionID,int
dbo,AssignmentRules_OLD,TechGroupID,int
dbo,AssignmentRules_OLD,DestState,nvarchar
dbo,AssignmentRules_OLD,DestOpenReasonID,int
dbo,AssignmentRules_OLD,DestCloseReasonID,int
dbo,AssignmentRules_OLD,DestTechDeptID,int
dbo,AssignmentRules_OLD,DestTechRegionID,int
dbo,AssignmentRules_OLD,DestTechGroupID,int
dbo,AssignmentRules_OLD,ID_OLD,int
dbo,AssignmentRules_OLD,UpdDate,datetime
dbo,AssignmentRules_OLD,USERID,int
dbo,AssignmentRules_OLD,TypeID,int
dbo,AssignmentRules_OLD,DestTypeID,int
dbo,AssignmentRules_OLD,OnlyFirst,int
dbo,AUTH_CURRENT_SESSION,ID,int
dbo,AUTH_CURRENT_SESSION,SID,uniqueidentifier
dbo,AUTH_CURRENT_SESSION,LOGIN_ID,int
dbo,AUTH_CURRENT_SESSION,HOST,varchar
dbo,AUTH_CURRENT_SESSION,TS,datetime
dbo,AUTH_CURRENT_SESSION,RAW_PLATFORM,varchar
dbo,AUTH_CURRENT_SESSION,RAW_SCREEN_INFO,varchar
dbo,AUTH_CURRENT_SESSION,RAW_USER_AGENT,varchar
dbo,AUTH_CURRENT_SESSION,RAW_ACCEPT_LANGUAGE,varchar
dbo,AUTH_DENY_HISTORY,LOGIN_ID,int
dbo,AUTH_DENY_HISTORY,HOST,varchar
dbo,AUTH_DENY_HISTORY,TS,datetime
dbo,AUTH_DENY_HISTORY,REASON,int
dbo,AUTH_GROUP,ID,int
dbo,AUTH_GROUP,NAME,varchar
dbo,AUTH_GROUP,PERMITTED_TILL,datetime
dbo,AUTH_GROUP,LOCKED,numeric
dbo,AUTH_LAST_LOGIN,ID,int
dbo,AUTH_LAST_LOGIN,HOST,varchar
dbo,AUTH_LAST_LOGIN,TS,datetime
dbo,AUTH_LOGIN,ID,int
dbo,AUTH_LOGIN,LOGIN,varchar
dbo,AUTH_LOGIN,PASSWORD,varchar
dbo,AUTH_LOGIN,GROUP_ID,int
dbo,AUTH_LOGIN,PERMITTED_TILL,datetime
dbo,AUTH_LOGIN,LOCKED,numeric
dbo,AUTH_LOGIN,LOCKED_WHEN,datetime
dbo,AUTH_LOGIN,INCORRECT_COUNT,numeric
dbo,AUTH_SESSION_HISTORY,LOGIN_ID,int
