SchemaName,TableName,ColumnName,DataType
dbo,BalanceStatistics,ID,int
dbo,BalanceStatistics,Period,datetime
dbo,BalanceStatistics,RegionalLevel3,nvarchar
dbo,BalanceStatistics,RegionalLevel3ID,int
dbo,BalanceStatistics,RegionalLevel2,nvarchar
dbo,BalanceStatistics,RegionalLevel2ID,int
dbo,BalanceStatistics,RegionalLevel1,nvarchar
dbo,BalanceStatistics,RegionalLevel1ID,int
dbo,BalanceStatistics,Region,nvarchar
dbo,BalanceStatistics,RegionID,int
dbo,BalanceStatistics,Service,nvarchar
dbo,BalanceStatistics,ServiceID,int
dbo,BalanceStatistics,ServiceRate,nvarchar
dbo,BalanceStatistics,ServiceRateID,int
dbo,BalanceStatistics,DocumentType,nvarchar
dbo,BalanceStatistics,ContractType,nvarchar
dbo,BalanceStatistics,PeriodBegin,datetime
dbo,BalanceStatistics,PeriodEnd,datetime
dbo,BalanceStatistics,Balance,numeric
dbo,BalanceStatistics,RefID,int
dbo,BalanceStatistics,inActive,nvarchar
dbo,BalanceStatistics,Operator,nvarchar
dbo,BalanceStatistics,OperatorID,int
dbo,BalanceStatistics,ClientClass,nvarchar
dbo,BalanceStatistics,ClientClassID,int
dbo,CDRClientStatistics,ID,int
dbo,CDRClientStatistics,TimeStart,datetime
dbo,CDRClientStatistics,TimeEnd,datetime
dbo,CDRClientStatistics,CLID,int
dbo,CDRClientStatistics,CID,int
dbo,CDRClientStatistics,CSID,int
dbo,CDRClientStatistics,GKID,int
dbo,CDRClientStatistics,TimeZoneID,int
dbo,CDRClientStatistics,TrafficTypeID,int
dbo,CDRClientStatistics,OverLimit,int
dbo,CDRClientStatistics,Cnt,int
dbo,CDRClientStatistics,Cnt0Calls,int
dbo,CDRClientStatistics,CntCalls,int
dbo,CDRClientStatistics,Duration,bigint
dbo,CDRClientStatistics,Price,numeric
dbo,CDRClientStatistics,Cost,numeric
dbo,CDRClientStatistics,InvNo,bigint
dbo,CDRClientStatistics,RealDuration,bigint
dbo,CDRClientStatistics,DCLID,int
dbo,CDRClientStatistics,IntPrice,numeric
dbo,CDRClientStatistics,IntCost,numeric
dbo,CDRClientStatistics,Currency,nvarchar
dbo,CDRClientStatistics_20120531,ID,int
dbo,CDRClientStatistics_20120531,TimeStart,datetime
dbo,CDRClientStatistics_20120531,TimeEnd,datetime
dbo,CDRClientStatistics_20120531,CLID,int
dbo,CDRClientStatistics_20120531,CID,int
dbo,CDRClientStatistics_20120531,CSID,int
dbo,CDRClientStatistics_20120531,GKID,int
dbo,CDRClientStatistics_20120531,TimeZoneID,int
dbo,CDRClientStatistics_20120531,TrafficTypeID,int
dbo,CDRClientStatistics_20120531,OverLimit,int
dbo,CDRClientStatistics_20120531,Cnt,int
dbo,CDRClientStatistics_20120531,Cnt0Calls,int
dbo,CDRClientStatistics_20120531,CntCalls,int
dbo,CDRClientStatistics_20120531,Duration,bigint
dbo,CDRClientStatistics_20120531,Price,numeric
dbo,CDRClientStatistics_20120531,Cost,numeric
dbo,CDRClientStatistics_20120531,InvNo,bigint
dbo,CDRClientStatistics_20120533,ID,int
dbo,CDRClientStatistics_20120533,TimeStart,datetime
dbo,CDRClientStatistics_20120533,TimeEnd,datetime
dbo,CDRClientStatistics_20120533,CLID,int
dbo,CDRClientStatistics_20120533,CID,int
dbo,CDRClientStatistics_20120533,CSID,int
dbo,CDRClientStatistics_20120533,GKID,int
dbo,CDRClientStatistics_20120533,TimeZoneID,int
dbo,CDRClientStatistics_20120533,TrafficTypeID,int
dbo,CDRClientStatistics_20120533,OverLimit,int
dbo,CDRClientStatistics_20120533,Cnt,int
dbo,CDRClientStatistics_20120533,Cnt0Calls,int
dbo,CDRClientStatistics_20120533,CntCalls,int
dbo,CDRClientStatistics_20120533,Duration,bigint
dbo,CDRClientStatistics_20120533,Price,numeric
dbo,CDRClientStatistics_20120533,Cost,numeric
dbo,CDRClientStatistics_20120533,InvNo,bigint
dbo,CDRClientStatistics_20120533,RealDuration,bigint
dbo,CDRClientStatistics_20121105,ID,int
dbo,CDRClientStatistics_20121105,TimeStart,datetime
dbo,CDRClientStatistics_20121105,TimeEnd,datetime
dbo,CDRClientStatistics_20121105,CLID,int
dbo,CDRClientStatistics_20121105,CID,int
dbo,CDRClientStatistics_20121105,CSID,int
dbo,CDRClientStatistics_20121105,GKID,int
dbo,CDRClientStatistics_20121105,TimeZoneID,int
dbo,CDRClientStatistics_20121105,TrafficTypeID,int
dbo,CDRClientStatistics_20121105,OverLimit,int
dbo,CDRClientStatistics_20121105,Cnt,int
dbo,CDRClientStatistics_20121105,Cnt0Calls,int
dbo,CDRClientStatistics_20121105,CntCalls,int
dbo,CDRClientStatistics_20121105,Duration,bigint
dbo,CDRClientStatistics_20121105,Price,numeric
dbo,CDRClientStatistics_20121105,Cost,numeric
dbo,CDRClientStatistics_20121105,InvNo,bigint
dbo,CDRClientStatistics_20121105,RealDuration,bigint
dbo,CDRClientStatistics_20121105,DCLID,int
dbo,CDRClientStatistics_20121105,IntPrice,numeric
dbo,CDRClientStatistics_20121105,IntCost,numeric
dbo,CDRClientStatisticsA,ID,int
dbo,CDRClientStatisticsA,TimeStart,datetime
dbo,CDRClientStatisticsA,TimeEnd,datetime
dbo,CDRClientStatisticsA,CLID,int
dbo,CDRClientStatisticsA,CID,int
dbo,CDRClientStatisticsA,CSID,int
dbo,CDRClientStatisticsA,GKID,int
dbo,CDRClientStatisticsA,TimeZoneID,int
dbo,CDRClientStatisticsA,TrafficTypeID,int
dbo,CDRClientStatisticsA,OverLimit,int
dbo,CDRClientStatisticsA,Cnt,int
dbo,CDRClientStatisticsA,Cnt0Calls,int
dbo,CDRClientStatisticsA,CntCalls,int
dbo,CDRClientStatisticsA,Duration,bigint
dbo,CDRClientStatisticsA,Price,numeric
dbo,CDRClientStatisticsA,Cost,numeric
dbo,CDRClientStatisticsA,InvNo,bigint
dbo,CDRTerminationC,TimeStart,datetime
dbo,CDRTerminationC,clid,int
dbo,CDRTerminationC,TrafficTypeID,int
dbo,CDRTerminationC,Kduration,numeric
dbo,CDRTerminationC,Kcost,numeric
dbo,CDRTerminationC_old,TimeStart,datetime
dbo,CDRTerminationC_old,clid,int
dbo,CDRTerminationC_old,TrafficTypeID,int
dbo,CDRTerminationC_old,Kduration,numeric
dbo,CDRTerminationC_old,Kcost,numeric
dbo,CDRTerminationPartnerData,id,int
dbo,CDRTerminationPartnerData,TimeStart,datetime
dbo,CDRTerminationPartnerData,clid,int
dbo,CDRTerminationPartnerData,TrafficTypeID,int
dbo,CDRTerminationPartnerData,TimeZoneID,int
dbo,CDRTerminationPartnerData,BillableDuration,int
dbo,CDRTerminationPartnerData,RealDuration,int
dbo,CDRTerminationPartnerData,Cost,numeric
dbo,CDRTerminationPartnerData,CDRCount,int
dbo,CDRTerminationStatistics,ID,int
dbo,CDRTerminationStatistics,TimeStart,datetime
dbo,CDRTerminationStatistics,TimeEnd,datetime
dbo,CDRTerminationStatistics,RegionsLevel1ID,int
dbo,CDRTerminationStatistics,CLID,int
dbo,CDRTerminationStatistics,ContractType,nvarchar
dbo,CDRTerminationStatistics,DID,int
dbo,CDRTerminationStatistics,TimeZoneID,int
dbo,CDRTerminationStatistics,TrafficTypeID,int
dbo,CDRTerminationStatistics,TerminationCause,nvarchar
dbo,CDRTerminationStatistics,Duration,bigint
dbo,CDRTerminationStatistics,Cnt,int
dbo,CDRTerminationStatistics,Cnt0Calls,int
dbo,CDRTerminationStatistics,CntCalls,int
dbo,CDRTerminationStatistics,Cost,numeric
dbo,CDRTerminationStatistics,RealDuration,bigint
dbo,CDRTerminationStatistics,DCLID,int
dbo,CDRTerminationStatistics,IntCost,numeric
dbo,CDRTerminationStatistics,Currency,nvarchar
dbo,CDRTerminationStatistics_20120531,ID,int
dbo,CDRTerminationStatistics_20120531,TimeStart,datetime
dbo,CDRTerminationStatistics_20120531,TimeEnd,datetime
dbo,CDRTerminationStatistics_20120531,RegionsLevel1ID,int
dbo,CDRTerminationStatistics_20120531,CLID,int
dbo,CDRTerminationStatistics_20120531,ContractType,nvarchar
dbo,CDRTerminationStatistics_20120531,DID,int
dbo,CDRTerminationStatistics_20120531,TimeZoneID,int
dbo,CDRTerminationStatistics_20120531,TrafficTypeID,int
dbo,CDRTerminationStatistics_20120531,TerminationCause,nvarchar
dbo,CDRTerminationStatistics_20120531,Duration,bigint
dbo,CDRTerminationStatistics_20120531,Cnt,int
dbo,CDRTerminationStatistics_20120531,Cnt0Calls,int
dbo,CDRTerminationStatistics_20120531,CntCalls,int
dbo,CDRTerminationStatistics_20120531,Cost,numeric
dbo,CDRTerminationStatistics_20120533,ID,int
dbo,CDRTerminationStatistics_20120533,TimeStart,datetime
dbo,CDRTerminationStatistics_20120533,TimeEnd,datetime
dbo,CDRTerminationStatistics_20120533,RegionsLevel1ID,int
dbo,CDRTerminationStatistics_20120533,CLID,int
dbo,CDRTerminationStatistics_20120533,ContractType,nvarchar
dbo,CDRTerminationStatistics_20120533,DID,int
dbo,CDRTerminationStatistics_20120533,TimeZoneID,int
dbo,CDRTerminationStatistics_20120533,TrafficTypeID,int
dbo,CDRTerminationStatistics_20120533,TerminationCause,nvarchar
dbo,CDRTerminationStatistics_20120533,Duration,bigint
dbo,CDRTerminationStatistics_20120533,Cnt,int
dbo,CDRTerminationStatistics_20120533,Cnt0Calls,int
dbo,CDRTerminationStatistics_20120533,CntCalls,int
dbo,CDRTerminationStatistics_20120533,Cost,numeric
dbo,CDRTerminationStatistics_20120533,RealDuration,bigint
dbo,CDRTerminationStatistics_20121010,ID,int
dbo,CDRTerminationStatistics_20121010,TimeStart,datetime
dbo,CDRTerminationStatistics_20121010,TimeEnd,datetime
dbo,CDRTerminationStatistics_20121010,RegionsLevel1ID,int
dbo,CDRTerminationStatistics_20121010,CLID,int
dbo,CDRTerminationStatistics_20121010,ContractType,nvarchar
dbo,CDRTerminationStatistics_20121010,DID,int
dbo,CDRTerminationStatistics_20121010,TimeZoneID,int
dbo,CDRTerminationStatistics_20121010,TrafficTypeID,int
dbo,CDRTerminationStatistics_20121010,TerminationCause,nvarchar
dbo,CDRTerminationStatistics_20121010,Duration,bigint
dbo,CDRTerminationStatistics_20121010,Cnt,int
dbo,CDRTerminationStatistics_20121010,Cnt0Calls,int
dbo,CDRTerminationStatistics_20121010,CntCalls,int
dbo,CDRTerminationStatistics_20121010,Cost,numeric
dbo,CDRTerminationStatistics_20121010,RealDuration,bigint
dbo,CDRTerminationStatisticsA,ID,int
dbo,CDRTerminationStatisticsA,TimeStart,datetime
dbo,CDRTerminationStatisticsA,TimeEnd,datetime
dbo,CDRTerminationStatisticsA,RegionsLevel1ID,int
dbo,CDRTerminationStatisticsA,CLID,int
dbo,CDRTerminationStatisticsA,ContractType,nvarchar
dbo,CDRTerminationStatisticsA,DID,int
dbo,CDRTerminationStatisticsA,TimeZoneID,int
dbo,CDRTerminationStatisticsA,TrafficTypeID,int
dbo,CDRTerminationStatisticsA,TerminationCause,nvarchar
dbo,CDRTerminationStatisticsA,Duration,bigint
dbo,CDRTerminationStatisticsA,Cnt,int
dbo,CDRTerminationStatisticsA,Cnt0Calls,int
dbo,CDRTerminationStatisticsA,CntCalls,int
dbo,CDRTerminationStatisticsA,Cost,numeric
dbo,ClientServiceState,id,int
dbo,ClientServiceState,data,date
dbo,ClientServiceState,CLID,int
dbo,ClientServiceState,CID,int
dbo,ClientServiceState,ServiceID,int
dbo,ClientServiceState,RSID,int
dbo,ClientServiceState,CSID,int
dbo,ClientServiceState,Balance,numeric
dbo,ClientServiceState,ServiceBalance,numeric
dbo,ClientServiceState,PaidTo,date
dbo,ClientServiceState,LastInvoicedTo,date
dbo,ClientServiceState,RefID,int
dbo,ClientServiceState,inActive,int
dbo,ContractStates,ID,int
dbo,ContractStates,data,datetime
dbo,ContractStates,Period,char
dbo,ContractStates,Distributorid,int
dbo,ContractStates,CLID,int
dbo,ContractStates,RegionID,int
dbo,ContractStates,CID,int
dbo,ContractStates,ServiceID,int
dbo,ContractStates,RID,int
dbo,ContractStates,RSID,int
dbo,ContractStates,Price,numeric
dbo,ContractStates,State,nvarchar
dbo,ContractStates,Number,int
dbo,ContractStates_20071007,ID,int
dbo,ContractStates_20071007,data,datetime
dbo,ContractStates_20071007,Period,char
dbo,ContractStates_20071007,Distributorid,int
dbo,ContractStates_20071007,CLID,int
dbo,ContractStates_20071007,RegionID,int
dbo,ContractStates_20071007,CID,int
dbo,ContractStates_20071007,ServiceID,int
dbo,ContractStates_20071007,RID,int
dbo,ContractStates_20071007,RSID,int
dbo,ContractStates_20071007,Price,numeric
dbo,ContractStates_20071007,State,nvarchar
dbo,ContractStates_20071007,Number,int
dbo,ContractStatesV2,ID,int
dbo,ContractStatesV2,data,datetime
dbo,ContractStatesV2,Period,char
dbo,ContractStatesV2,Distributorid,int
dbo,ContractStatesV2,CLID,int
dbo,ContractStatesV2,RegionID,int
dbo,ContractStatesV2,CID,int
dbo,ContractStatesV2,ServiceID,int
dbo,ContractStatesV2,CSID,int
dbo,ContractStatesV2,RID,int
dbo,ContractStatesV2,RSID,int
dbo,ContractStatesV2,Price,numeric
dbo,ContractStatesV2,Number,int
dbo,ContractStatesV2,StateV2,nvarchar
dbo,ContractStatesV3_0000,ID,int
dbo,ContractStatesV3_0000,data,datetime
dbo,ContractStatesV3_0000,Period,char
dbo,ContractStatesV3_0000,Distributorid,int
dbo,ContractStatesV3_0000,CLID,int
dbo,ContractStatesV3_0000,RegionID,int
dbo,ContractStatesV3_0000,CID,int
dbo,ContractStatesV3_0000,ServiceID,int
dbo,ContractStatesV3_0000,CSID,int
dbo,ContractStatesV3_0000,RID,int
dbo,ContractStatesV3_0000,RSID,int
dbo,ContractStatesV3_0000,Price,numeric
dbo,ContractStatesV3_0000,Number,numeric
dbo,ContractStatesV3_0000,StateV2,nvarchar
dbo,ContractStatesV3_0000,NC,int
dbo,ContractStatesV3_0000,NC_RefID,int
dbo,ContractStatesV3_0000,correction,int
dbo,ContractStatesV3_0000,PromotionID,int
dbo,ContractStatesV3_0000,Promotion,nvarchar
dbo,ContractStatesV3_0000,addressid,int
dbo,ContractStatesV3_0000,ClientClassID,int
dbo,ContractStatesV3_0000,Validity,int
dbo,ContractStatesV3_0000,LastRSID,int
dbo,ContractStatesV3_2007,ID,int
dbo,ContractStatesV3_2007,data,datetime
dbo,ContractStatesV3_2007,Period,char
dbo,ContractStatesV3_2007,Distributorid,int
dbo,ContractStatesV3_2007,CLID,int
dbo,ContractStatesV3_2007,RegionID,int
dbo,ContractStatesV3_2007,CID,int
dbo,ContractStatesV3_2007,ServiceID,int
dbo,ContractStatesV3_2007,CSID,int
dbo,ContractStatesV3_2007,RID,int
dbo,ContractStatesV3_2007,RSID,int
dbo,ContractStatesV3_2007,Price,numeric
dbo,ContractStatesV3_2007,Number,int
dbo,ContractStatesV3_2007,StateV2,nvarchar
dbo,ContractStatesV3_2007,NC,int
dbo,ContractStatesV3_2007,NC_RefID,int
dbo,ContractStatesV3_2007,correction,int
dbo,ContractStatesV3_2008,ID,int
dbo,ContractStatesV3_2008,data,datetime
dbo,ContractStatesV3_2008,Period,char
dbo,ContractStatesV3_2008,Distributorid,int
dbo,ContractStatesV3_2008,CLID,int
dbo,ContractStatesV3_2008,RegionID,int
dbo,ContractStatesV3_2008,CID,int
dbo,ContractStatesV3_2008,ServiceID,int
dbo,ContractStatesV3_2008,CSID,int
dbo,ContractStatesV3_2008,RID,int
dbo,ContractStatesV3_2008,RSID,int
dbo,ContractStatesV3_2008,Price,numeric
dbo,ContractStatesV3_2008,Number,int
dbo,ContractStatesV3_2008,StateV2,nvarchar
dbo,ContractStatesV3_2008,NC,int
dbo,ContractStatesV3_2008,NC_RefID,int
dbo,ContractStatesV3_2008,correction,int
dbo,ContractStatesV3_2009,ID,int
dbo,ContractStatesV3_2009,data,datetime
dbo,ContractStatesV3_2009,Period,char
dbo,ContractStatesV3_2009,Distributorid,int
dbo,ContractStatesV3_2009,CLID,int
dbo,ContractStatesV3_2009,RegionID,int
dbo,ContractStatesV3_2009,CID,int
dbo,ContractStatesV3_2009,ServiceID,int
dbo,ContractStatesV3_2009,CSID,int
dbo,ContractStatesV3_2009,RID,int
dbo,ContractStatesV3_2009,RSID,int
dbo,ContractStatesV3_2009,Price,numeric
dbo,ContractStatesV3_2009,Number,int
dbo,ContractStatesV3_2009,StateV2,nvarchar
dbo,ContractStatesV3_2009,NC,int
dbo,ContractStatesV3_2009,NC_RefID,int
dbo,ContractStatesV3_2009,correction,int
dbo,ContractStatesV3_2010,ID,int
dbo,ContractStatesV3_2010,data,datetime
dbo,ContractStatesV3_2010,Period,char
dbo,ContractStatesV3_2010,Distributorid,int
dbo,ContractStatesV3_2010,CLID,int
dbo,ContractStatesV3_2010,RegionID,int
dbo,ContractStatesV3_2010,CID,int
dbo,ContractStatesV3_2010,ServiceID,int
dbo,ContractStatesV3_2010,CSID,int
dbo,ContractStatesV3_2010,RID,int
dbo,ContractStatesV3_2010,RSID,int
dbo,ContractStatesV3_2010,Price,numeric
dbo,ContractStatesV3_2010,Number,int
dbo,ContractStatesV3_2010,StateV2,nvarchar
dbo,ContractStatesV3_2010,NC,int
dbo,ContractStatesV3_2010,NC_RefID,int
dbo,ContractStatesV3_2010,correction,int
dbo,ContractStatesV3_2012,ID,int
dbo,ContractStatesV3_2012,data,datetime
dbo,ContractStatesV3_2012,Period,char
dbo,ContractStatesV3_2012,Distributorid,int
dbo,ContractStatesV3_2012,CLID,int
dbo,ContractStatesV3_2012,RegionID,int
dbo,ContractStatesV3_2012,CID,int
dbo,ContractStatesV3_2012,ServiceID,int
dbo,ContractStatesV3_2012,CSID,int
dbo,ContractStatesV3_2012,RID,int
dbo,ContractStatesV3_2012,RSID,int
dbo,ContractStatesV3_2012,Price,numeric
dbo,ContractStatesV3_2012,Number,numeric
dbo,ContractStatesV3_2012,StateV2,nvarchar
dbo,ContractStatesV3_2012,NC,int
dbo,ContractStatesV3_2012,NC_RefID,int
dbo,ContractStatesV3_2012,correction,int
dbo,ContractStatesV3_2012,PromotionID,int
dbo,ContractStatesV3_2012,Promotion,nvarchar
dbo,ContractStatesV3_2012,addressid,int
dbo,ContractStatesV3_2012,ClientClassID,int
dbo,ContractStatesV3_2012,Validity,int
dbo,ContractStatesV3AGR_0000,ID,int
dbo,ContractStatesV3AGR_0000,data,datetime
dbo,ContractStatesV3AGR_0000,Period,char
dbo,ContractStatesV3AGR_0000,Distributorid,int
dbo,ContractStatesV3AGR_0000,RegionID,int
dbo,ContractStatesV3AGR_0000,ServiceID,int
dbo,ContractStatesV3AGR_0000,RID,int
dbo,ContractStatesV3AGR_0000,RSID,int
dbo,ContractStatesV3AGR_0000,Price,numeric
dbo,ContractStatesV3AGR_0000,Number,numeric
dbo,ContractStatesV3AGR_0000,StateV2,nvarchar
dbo,ContractStatesV3AGR_0000,NC,int
dbo,ContractStatesV3AGR_0000,NC_RefID,int
dbo,ContractStatesV3AGR_0000,correction,int
dbo,ContractStatesV3AGR_0000,PromotionID,int
dbo,ContractStatesV3AGR_0000,Promotion,nvarchar
dbo,ContractStatesV3AGR_0000,ClientClassID,int
dbo,ContractStatesV3AGR_0000,Validity,int
dbo,ContractStatesV3AGR_2007,ID,int
dbo,ContractStatesV3AGR_2007,data,datetime
dbo,ContractStatesV3AGR_2007,Period,char
dbo,ContractStatesV3AGR_2007,Distributorid,int
dbo,ContractStatesV3AGR_2007,RegionID,int
dbo,ContractStatesV3AGR_2007,ServiceID,int
dbo,ContractStatesV3AGR_2007,RID,int
dbo,ContractStatesV3AGR_2007,RSID,int
dbo,ContractStatesV3AGR_2007,Price,numeric
