SchemaName,TableName,ColumnName,DataType
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,ID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,DEVICE_ID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,DAY,smalldatetime
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,TRAFFIC_TYPE,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,CLIENT_IP,numeric
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,DIRECTION,char
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,ZONE_ID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,TIME_ZONE_ID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,INVNO,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,OCTETS,bigint
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,COST,numeric
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,CURRENCY,char
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,CID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,CSID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,ServiceID,int
dbo,PPPOE_ACCOUNTING_SUMMARY_PER_DAY,cost_old,numeric
dbo,PPPOE_ACCOUNTING_SVD,ID,int
dbo,PPPOE_ACCOUNTING_SVD,DEVICE_ID,int
dbo,PPPOE_ACCOUNTING_SVD,DAY,smalldatetime
dbo,PPPOE_ACCOUNTING_SVD,TRAFFIC_TYPE,int
dbo,PPPOE_ACCOUNTING_SVD,CLIENT_IP,numeric
dbo,PPPOE_ACCOUNTING_SVD,DIRECTION,char
dbo,PPPOE_ACCOUNTING_SVD,ZONE_ID,int
dbo,PPPOE_ACCOUNTING_SVD,TIME_ZONE_ID,int
dbo,PPPOE_ACCOUNTING_SVD,INVNO,int
dbo,PPPOE_ACCOUNTING_SVD,OCTETS,bigint
dbo,PPPOE_ACCOUNTING_SVD,COST,numeric
dbo,PPPOE_ACCOUNTING_SVD,CURRENCY,char
dbo,PPPOE_ACCOUNTING_SVD,CID,int
dbo,PPPOE_ACCOUNTING_SVD,CSID,int
dbo,PPPOE_ACCOUNTING_SVD,ServiceID,int
dbo,PPPOE_ACCOUNTING_SVD,cost_old,numeric
