SchemaName,TableName,ColumnName,DataType
dbo,@@ASR_State,GKID,int
dbo,@@ASR_State,SID,int
dbo,@@ASR_State,DID,int
dbo,@@ASR_State,SPriority,int
dbo,@@ASR_State,SIPAddress,nvarchar
dbo,@@ASR_State,SessionCount,int
dbo,@@ASR_State,sCount,int
dbo,@@ASR_State,bCount,int
dbo,@@ASR_State,ASR,float
dbo,@@ASR_State,AvgDuration,float
dbo,@@ASR_State,BegDate,datetime
dbo,@@ASR_State,EndDate,datetime
dbo,ADDR_AREA,ID,int
dbo,ADDR_AREA,NAME,nvarchar
dbo,ADDR_AREA,ADDR_REGION_ID,int
dbo,ADDR_DISTRICT,ID,int
dbo,ADDR_DISTRICT,SETTLEMENT_ID,int
dbo,ADDR_DISTRICT,NAME,nvarchar
dbo,ADDR_LOCATION,ID,int
dbo,ADDR_LOCATION,AREA_ID,int
dbo,ADDR_LOCATION,SETTLEMENT_ID,int
dbo,ADDR_LOCATION,MUNICIPALITY_ID,int
dbo,ADDR_LOCATION,DISTRICT_ID,int
dbo,ADDR_LOCATION,STREET_ID,int
dbo,ADDR_LOCATION,POSTCODE,nvarchar
dbo,ADDR_LOCATION,BUILDING,int
dbo,ADDR_LOCATION,BUILDING_EXT,nvarchar
dbo,ADDR_LOCATION,STREET_NO,int
dbo,ADDR_LOCATION,STREET_NO_EXT,nvarchar
dbo,ADDR_LOCATION,ENTRANCE,nvarchar
dbo,ADDR_LOCATION,FLOOR,int
dbo,ADDR_LOCATION,FLAT,int
dbo,ADDR_LOCATION,NOTES,nvarchar
dbo,ADDR_LOCATION,COMBINED,nvarchar
dbo,ADDR_LOCATION,FLAT_EXT,nvarchar
dbo,ADDR_LOCATION,TYPE_ID,int
dbo,ADDR_LOCATION,FLOOR_EXT,nvarchar
dbo,ADDR_LOCATION,latitude,numeric
dbo,ADDR_LOCATION,longitude,numeric
dbo,ADDR_LOCATION,LocationValid,int
dbo,ADDR_LOCATION,location,geography
dbo,ADDR_LOCATION,PARCEL,nvarchar
dbo,ADDR_LOCATION_REGION,ID,int
dbo,ADDR_LOCATION_REGION,RegionID,int
dbo,ADDR_LOCATION_REGION,Settlement_ID,int
dbo,ADDR_LOCATION_REGION,MUNICIPALITY_ID,int
dbo,ADDR_LOCATION_REGION,District_ID,int
dbo,ADDR_LOCATION_REGION,Street_ID,int
dbo,ADDR_LOCATION_REGION,BegBUILDING,int
dbo,ADDR_LOCATION_REGION,EndBUILDING,int
dbo,ADDR_LOCATION_REGION,BegSTREET_NO,int
dbo,ADDR_LOCATION_REGION,EndSTREET_NO,int
dbo,ADDR_LOCATION_TYPE,ID,int
dbo,ADDR_LOCATION_TYPE,NAME,nvarchar
dbo,ADDR_MUNICIPALITY,ID,int
dbo,ADDR_MUNICIPALITY,SETTLEMENT_ID,int
dbo,ADDR_MUNICIPALITY,NAME,nvarchar
dbo,ADDR_PARASITE_WORD,WORD,nvarchar
dbo,ADDR_REGION,ID,int
dbo,ADDR_REGION,NAME,nvarchar
dbo,ADDR_SETTLEMENT,ID,int
dbo,ADDR_SETTLEMENT,AREA_ID,int
dbo,ADDR_SETTLEMENT,TYPE_ID,int
dbo,ADDR_SETTLEMENT,NAME,nvarchar
dbo,ADDR_SETTLEMENT_TYPE,ID,int
dbo,ADDR_SETTLEMENT_TYPE,IS_DEFAULT,numeric
dbo,ADDR_SETTLEMENT_TYPE,NAME,nvarchar
dbo,ADDR_STREET,ID,int
dbo,ADDR_STREET,SETTLEMENT_ID,int
dbo,ADDR_STREET,TYPE_ID,int
dbo,ADDR_STREET,NAME,nvarchar
dbo,ADDR_STREET,DISTRICT_ID,int
dbo,ADDR_STREET_TYPE,ID,int
dbo,ADDR_STREET_TYPE,IS_DEFAULT,numeric
dbo,ADDR_STREET_TYPE,NAME,nvarchar
dbo,ADDR_STREET_TYPE,ABBREV,nvarchar
dbo,Address,ID,int
dbo,Address,CLID,int
dbo,Address,Type,nvarchar
dbo,Address,City,nvarchar
dbo,Address,District,nvarchar
dbo,Address,Street,nvarchar
dbo,Address,No,nvarchar
dbo,Address,Building,nvarchar
dbo,Address,Entrance,nvarchar
dbo,Address,Apartment,nvarchar
dbo,Address,Floor,nvarchar
dbo,Address,ZIP,nvarchar
dbo,BIPPolicies,ID,int
dbo,BIPPolicies,Name,nvarchar
dbo,BIPPolicies,ID_OLD,nvarchar
dbo,BIPPolicies,UpdDate,datetime
dbo,BIPPolicies,USERID,int
dbo,BIPPolicyPlans,ID,int
dbo,BIPPolicyPlans,Name,nvarchar
dbo,BIPPolicyPlans,Enabled,int
dbo,BIPPolicyPlans,BIPPolicyID,int
dbo,BIPPolicyPlans,StartTime,datetime
dbo,BIPPolicyPlans,Duration,int
dbo,BIPPolicyPlans,DaysOfWeek,nvarchar
dbo,BIPPolicyPlans,ExcludeDays,nvarchar
dbo,BIPPolicyPlans,Comment,nvarchar
dbo,BIPPolicyPlans,ID_OLD,nvarchar
dbo,BIPPolicyPlans,UpdDate,datetime
dbo,BIPPolicyPlans,USERID,int
dbo,BIPPolicyPlansVPNRates,ID,int
dbo,BIPPolicyPlansVPNRates,BIPPolicyPlanID,int
dbo,BIPPolicyPlansVPNRates,VPNRateID,int
dbo,BIPPolicyPlansVPNRates,Enabled,int
dbo,BIPPolicyPlansVPNRates,ID_OLD,nvarchar
dbo,BIPPolicyPlansVPNRates,UpdDate,datetime
dbo,BIPPolicyPlansVPNRates,USERID,int
dbo,CASA,ID,int
dbo,CASA,PAYOBJECTID,int
dbo,CASA,PAYTYPE,int
dbo,CASA,CashPointID,int
dbo,CASA,CLID,int
dbo,CASA,toCLID,int
dbo,CASA,PAYDATE,datetime
dbo,CASA,MONEY,numeric
dbo,CASA,BankReference,nvarchar
dbo,CASA,ZAB,varchar
dbo,CASA,INVID,int
dbo,CASA,ENTERDATE,datetime
dbo,CASA,CONFIRMED,int
dbo,CASA,ID_OLD,int
dbo,CASA,UPDDATE,datetime
dbo,CASA,USERID,int
dbo,CASA,PRN_COUNT,int
dbo,CASA,ExternalReference,nvarchar
dbo,CASA,CID,int
dbo,CASA,BegDate,datetime
dbo,CASA,EndDate,datetime
dbo,CASA,hard,int
dbo,CASA,InternalReference,nvarchar
dbo,CASA,RSID,int
dbo,CASA,DiscountMoney,numeric
dbo,CASA_OLD,ID,int
dbo,CASA_OLD,PAYOBJECTID,int
dbo,CASA_OLD,PAYTYPE,int
dbo,CASA_OLD,CashPointID,int
dbo,CASA_OLD,CLID,int
dbo,CASA_OLD,toCLID,int
dbo,CASA_OLD,PAYDATE,datetime
dbo,CASA_OLD,MONEY,numeric
dbo,CASA_OLD,BankReference,nvarchar
dbo,CASA_OLD,ZAB,varchar
dbo,CASA_OLD,INVID,int
dbo,CASA_OLD,ENTERDATE,datetime
dbo,CASA_OLD,CONFIRMED,int
dbo,CASA_OLD,ID_OLD,int
dbo,CASA_OLD,UPDDATE,datetime
dbo,CASA_OLD,USERID,int
dbo,CASA_OLD,CID,int
dbo,CASA_OLD,BegDate,datetime
dbo,CASA_OLD,EndDate,datetime
dbo,CASA_OLD,PRN_COUNT,int
dbo,CASA_OLD,ExternalReference,nvarchar
dbo,CASA_OLD,hard,int
dbo,CASA_OLD,InternalReference,nvarchar
dbo,CASA_OLD,RSID,int
dbo,CASA_OLD,DiscountMoney,numeric
dbo,CashPoints,ID,int
dbo,CashPoints,KOD,int
dbo,CashPoints,Name,nvarchar
dbo,CashPoints,IPAddress,nvarchar
dbo,CashPoints,MachineName,nvarchar
dbo,CashPoints,RequireSSL,int
dbo,CashPoints,StartInvoiceNo,numeric
dbo,CashPoints,EndInvoiceNo,numeric
dbo,CashPoints,OwnerID,int
dbo,CashPoints,CashPrinterID,int
dbo,CashPoints,ID_OLD,nvarchar
dbo,CashPoints,UpdDate,datetime
dbo,CashPoints,USERID,int
dbo,CashPoints,RegionID,int
dbo,CashPoints,SetupUserID,int
dbo,CashPoints,SetupDate,datetime
dbo,CashPoints,SetupAllow,int
dbo,CashPoints,AllowPayObjects,nvarchar
dbo,CashPoints,InvoiceRangeID,int
dbo,CashPoints,DistributorID,int
dbo,CashPoints,StornoPermissionPaymentCount,int
dbo,CashPoints,StornoPermissionMonthCount,int
dbo,CashPoints_OLD,ID,int
dbo,CashPoints_OLD,KOD,int
dbo,CashPoints_OLD,Name,nvarchar
dbo,CashPoints_OLD,IPAddress,nvarchar
dbo,CashPoints_OLD,MachineName,nvarchar
dbo,CashPoints_OLD,RequireSSL,int
dbo,CashPoints_OLD,StartInvoiceNo,numeric
dbo,CashPoints_OLD,EndInvoiceNo,numeric
dbo,CashPoints_OLD,OwnerID,int
dbo,CashPoints_OLD,ID_OLD,nvarchar
dbo,CashPoints_OLD,UpdDate,datetime
dbo,CashPoints_OLD,USERID,int
dbo,CashPoints_OLD,RegionID,int
dbo,CashPoints_OLD,SetupUserID,int
dbo,CashPoints_OLD,SetupDate,datetime
dbo,CashPoints_OLD,SetupAllow,int
dbo,CashPoints_OLD,AllowPayObjects,nvarchar
dbo,CashPoints_OLD,InvoiceRangeID,int
dbo,CashPoints_OLD,DistributorID,int
dbo,CashPoints_OLD,StornoPermissionPaymentCount,int
dbo,CashPoints_OLD,StornoPermissionMonthCount,int
dbo,CashPoints_OLD,CashPrinterID,int
dbo,CashPointState,ID,int
dbo,CashPointState,CashPointID,int
dbo,CashPointState,TimeStamp,datetime
dbo,CashPointState,State,nvarchar
dbo,CashPointState,Balance,numeric
dbo,CashPointState,Income,numeric
dbo,CashPointState,Expenses,numeric
dbo,CashPointState,Incaso,numeric
dbo,CashPointState,IncasoCharge,numeric
dbo,CashPointState,CashPrinterID,int
dbo,CashPointState,Comment,nvarchar
dbo,CashPointState,ID_OLD,int
dbo,CashPointState,UpdDate,datetime
dbo,CashPointState,USERID,int
dbo,CashPointState,RefID,int
dbo,CashPointState,storno,numeric
dbo,CashPointState,active,int
dbo,CashPointState,fix,int
dbo,CashPointState,POSPayments,numeric
dbo,CashPointState_OLD,ID,int
dbo,CashPointState_OLD,CashPointID,int
dbo,CashPointState_OLD,TimeStamp,datetime
dbo,CashPointState_OLD,State,nvarchar
dbo,CashPointState_OLD,Balance,numeric
dbo,CashPointState_OLD,Income,numeric
dbo,CashPointState_OLD,Expenses,numeric
dbo,CashPointState_OLD,Incaso,numeric
dbo,CashPointState_OLD,IncasoCharge,numeric
dbo,CashPointState_OLD,CashPrinterID,int
dbo,CashPointState_OLD,Comment,nvarchar
dbo,CashPointState_OLD,ID_OLD,int
dbo,CashPointState_OLD,UpdDate,datetime
dbo,CashPointState_OLD,USERID,int
dbo,CashPointState_OLD,RefID,int
dbo,CashPointState_OLD,storno,numeric
dbo,CashPointState_OLD,active,int
dbo,CashPointState_OLD,fix,int
dbo,CashPointState_OLD,POSPayments,numeric
dbo,CashPrinters,ID,int
dbo,CashPrinters,Name,nvarchar
dbo,CashPrinters,Location,nvarchar
dbo,CashPrinters,IPAddress,nvarchar
dbo,CashPrinters,Port,nvarchar
dbo,CashPrinters,Model,nvarchar
dbo,CashPrinters,SerialNo,nvarchar
dbo,CashPrinters,Operator,nvarchar
dbo,CashPrinters,Password,nvarchar
dbo,CashPrinters,Active,int
dbo,CashPrinters,OwnerID,int
dbo,CashPrinters,ID_OLD,nvarchar
dbo,CashPrinters,UpdDate,datetime
dbo,CashPrinters,USERID,int
dbo,ClientAddress,ID,int
dbo,ClientAddress,CLID,int
dbo,ClientAddress,AddressID,int
dbo,ClientAddress,DeviceID,int
dbo,ClientAddress,AddressType,nvarchar
dbo,ClientAddress,ID_OLD,nvarchar
dbo,ClientAddress,UpdDate,datetime
dbo,ClientAddress,USERID,int
dbo,ClientAddress,CID,int
dbo,ClientAddress,Secondary,int
dbo,ClientAddress_OLD,ID,int
dbo,ClientAddress_OLD,CLID,int
dbo,ClientAddress_OLD,AddressID,int
dbo,ClientAddress_OLD,DeviceID,int
dbo,ClientAddress_OLD,AddressType,nvarchar
dbo,ClientAddress_OLD,ID_OLD,int
dbo,ClientAddress_OLD,UpdDate,datetime
dbo,ClientAddress_OLD,USERID,int
dbo,ClientAddress_OLD,CID,int
dbo,ClientAddress_OLD,Secondary,int
dbo,ClientCategories,ID,int
dbo,ClientCategories,CLID,int
dbo,ClientCategories,Name,nvarchar
dbo,ClientCategories,Value,nvarchar
dbo,ClientCategories,ValueInt,int
dbo,ClientCategories,ValueDate,date
dbo,ClientCategories,Sys,int
dbo,ClientCategories,ID_OLD,int
dbo,ClientCategories,UpdDate,datetime
dbo,ClientCategories,USERID,int
dbo,ClientCategories_OLD,ID,int
dbo,ClientCategories_OLD,CLID,int
dbo,ClientCategories_OLD,Name,nvarchar
dbo,ClientCategories_OLD,Value,nvarchar
dbo,ClientCategories_OLD,ValueInt,int
dbo,ClientCategories_OLD,ValueDate,date
