SchemaName,TableName,ColumnName,DataType
dbo,LANGUAGE_DEF,ID,char
dbo,LANGUAGE_DEF,Collation,varchar
dbo,LANGUAGE_DEF,ISO639_1,char
dbo,LANGUAGE_DEF,ISO639_2,char
dbo,OD_ADI_Package,ID,int
dbo,OD_ADI_Package,Asset_Name,varchar
dbo,OD_ADI_Package,Provider,varchar
dbo,OD_ADI_Package,Product,varchar
dbo,OD_ADI_Package,Version_Minor,int
dbo,OD_ADI_Package,Version_Major,int
dbo,OD_ADI_Package,Description,varchar
dbo,OD_ADI_Package,Creation_Date,char
dbo,OD_ADI_Package,Provider_ID,varchar
dbo,OD_ADI_Package,Asset_ID,char
dbo,OD_AspectRatio,ID,int
dbo,OD_AspectRatio,Label,varchar
dbo,OD_AspectRatio,Nominator,numeric
dbo,OD_AspectRatio,Denominator,numeric
dbo,OD_AtoZIndex,ID,int
dbo,OD_AtoZIndex,LNG,char
dbo,OD_AtoZIndex,Label,nvarchar
dbo,OD_AtoZIndex,Mask,nvarchar
dbo,OD_AtoZIndex,OrderWeight,int
dbo,OD_AudioFormat,ID,int
dbo,OD_AudioFormat,Name,nvarchar
dbo,OD_AudioFormat,Tag,varchar
dbo,OD_Category,ID,int
dbo,OD_Category,Native_LNG,char
dbo,OD_Category,CategoryClassID,int
dbo,OD_Category,PricingTokenID,int
dbo,OD_Category,OrderWeight,int
dbo,OD_Category,Enabled,bit
dbo,OD_Category,Browsable,bit
dbo,OD_Category,Tag,varchar
dbo,OD_Category,Code,varchar
dbo,OD_Category_LNG,ID,int
dbo,OD_Category_LNG,LNG,char
dbo,OD_Category_LNG,Name,nvarchar
dbo,OD_Category2,ID,int
dbo,OD_Category2,Native_LNG,char
dbo,OD_Category2,ParentID,int
dbo,OD_Category2,OrderWeight,int
dbo,OD_Category2,Enabled,bit
dbo,OD_Category2,Browsable,bit
dbo,OD_Category2,Handler,varchar
dbo,OD_Category2,IsDeviceDependent,bit
dbo,OD_Category2,Testing,bit
dbo,OD_Category2,IncludedTitleTypes,varchar
