SchemaName,TableName,ColumnName,DataType
dbo,ADDR_LOCATION,ID,int
dbo,ADDR_LOCATION,AREA_ID,int
dbo,ADDR_LOCATION,SETTLEMENT_ID,int
dbo,ADDR_LOCATION,MUNICIPALITY_ID,int
dbo,ADDR_LOCATION,DISTRICT_ID,int
dbo,ADDR_LOCATION,STREET_ID,int
dbo,ADDR_LOCATION,POSTCODE,nvarchar
dbo,ADDR_LOCATION,BUILDING,int
dbo,ADDR_LOCATION,BUILDING_EXT,nvarchar
dbo,ADDR_LOCATION,STREET_NO,int
dbo,ADDR_LOCATION,STREET_NO_EXT,nvarchar
dbo,ADDR_LOCATION,ENTRANCE,nvarchar
dbo,ADDR_LOCATION,FLOOR,int
dbo,ADDR_LOCATION,FLAT,int
dbo,ADDR_LOCATION,NOTES,nvarchar
dbo,ADDR_LOCATION,COMBINED,nvarchar
dbo,ADDR_LOCATION,FLAT_EXT,nvarchar
dbo,ADDR_LOCATION,TYPE_ID,int
dbo,ADDR_LOCATION,FLOOR_EXT,nvarchar
dbo,ADDR_LOCATION,PARCEL,nvarchar
dbo,APPL_CHANGE,ID,int
dbo,APPL_CHANGE,CONTRACT_ID,nvarchar
dbo,APPL_CHANGE,REGIONAL_OFFICE,int
dbo,APPL_CHANGE,SERVICE_RATE,int
dbo,APPL_CHANGE,OLD_SERVICE_RATE,nvarchar
dbo,APPL_CHANGE,SUBSCRIBER_CODE,nvarchar
dbo,APPL_CHANGE,SUBSCRIBER_CODE_OLD,nvarchar
dbo,APPL_CHANGE,CONTRACT_START,datetime
dbo,APPL_CHANGE,CONTRACT_START_OLD,datetime
dbo,APPL_CHANGE,CREDIT_LIMIT,numeric
dbo,APPL_CHANGE,CREDIT_LIMIT_OLD,numeric
dbo,APPL_CHANGE,CONTRACT_STOP,datetime
dbo,APPL_CHANGE,CONTRACT_STOP_OLD,datetime
dbo,APPL_CHANGE,SERVICE,varchar
dbo,APPL_CHANGE,SERVICE_ALLOW_CHANGE,int
dbo,APPL_CHANGE,Template,nvarchar
dbo,APPL_CHANGE,PRN_COUNT,int
dbo,APPL_CHANGE,END_DEVICE_TYPE,int
dbo,APPL_CHANGE,DEVICE_VOICE,nvarchar
dbo,APPL_CHANGE,DEVICE_VOICE_TYPE,int
dbo,APPL_CHANGE,USAGE_TYPE,int
dbo,APPL_CHANGE,DEVICE_EXISTS,int
dbo,APPL_CHANGE,DEVICE_EXISTS_SHOW,int
dbo,APPL_CHANGE,VALIDITY_EXTENSION,int
dbo,APPL_CHANGE,VALIDITY_EXTENSION_SHOW,int
dbo,APPL_CHANGE,SERVICE_RATE_1,int
dbo,APPL_CHANGE,SERVICE_RATE_2,int
dbo,APPL_CHANGE,SERVICE_RATE_3,int
dbo,APPL_CHANGE,SERVICE_RATE_NAME,nvarchar
dbo,APPL_CHANGE,PARENT_ID,int
dbo,APPL_CHANGE,SELECTED,int
dbo,APPL_CHANGE,READONLY,int
dbo,APPL_CHANGE,CONTRACT_TYPE,nvarchar
dbo,APPL_CHANGE,CONTRACT_ADDRESS,nvarchar
dbo,APPL_CHANGE,CONTRACT_STATUS,nvarchar
dbo,APPL_CHANGE,SOURCE_ID,nvarchar
dbo,APPL_CHANGE,Message,nvarchar
dbo,APPL_CHANGE,TechRegionName,nvarchar
dbo,APPL_CHANGE,PARENT_SOURCE_ID,nvarchar
dbo,APPL_CHANGE,RETURNED_USB_CABLE,int
dbo,APPL_CHANGE,RETURNED_CD,int
dbo,APPL_CHANGE,RETURNED_BOX,int
dbo,APPL_CHANGE,RETURNED_MODEM,int
dbo,APPL_CHANGE,RETURNED_LAN_CABLE,int
dbo,APPL_CHANGE,RETURNED_POWER_ADAPTER,int
dbo,APPL_CHANGE,RETURNED_RJ11_CABLE,int
dbo,APPL_CHANGE,ALLOW_USB_CABLE,int
dbo,APPL_CHANGE,ALLOW_CD,int
dbo,APPL_CHANGE,ALLOW_BOX,int
dbo,APPL_CHANGE,ALLOW_MODEM,int
dbo,APPL_CHANGE,ALLOW_LAN_CABLE,int
dbo,APPL_CHANGE,ALLOW_POWER_ADAPTER,int
dbo,APPL_CHANGE,ALLOW_RJ11_CABLE,int
dbo,APPL_CHANGE,STOP_DATE,datetime
dbo,APPL_CHANGE,STOP_DATE_ALLOW_CHANGE,int
dbo,APPL_CHANGE,BASE_SERVICES_LIST,nvarchar
dbo,APPL_CHANGE,SERVICE_RATES_LIST,nvarchar
dbo,APPL_CHANGE,RETURNED_STB,int
dbo,APPL_CHANGE,RETURNED_STB_CABLE,int
dbo,APPL_CHANGE,RETURNED_STB_CARD,int
dbo,APPL_CHANGE,RETURNED_REMOTE,int
dbo,APPL_CHANGE,ALLOW_STB,int
dbo,APPL_CHANGE,ALLOW_STB_CABLE,int
dbo,APPL_CHANGE,ALLOW_STB_CARD,int
dbo,APPL_CHANGE,ALLOW_REMOTE,int
dbo,APPL_CHANGE,END_DEVICES,nvarchar
dbo,APPL_CHANGE,DEVICE_DTV,nvarchar
dbo,APPL_CHANGE,DEVICE_CI,nvarchar
dbo,APPL_CHANGE,DEVICE_DTV_SERIAL,nvarchar
dbo,APPL_CHANGE,SELECT1,int
dbo,APPL_CHANGE,OpenReasonID,int
dbo,APPL_CHANGE,EINVOICE_RECEIVE,int
dbo,APPL_CHANGE,CLIENT_CLASS,varchar
dbo,APPL_CHANGE,CONTRACT_ADDRESS_ID,nvarchar
dbo,APPL_CHANGE,CloseReasonID,int
dbo,APPL_CHANGE,DISABLE_TICKET,int
dbo,APPL_CHANGE,TECH_REGION,int
dbo,APPL_CHANGE,SeverityID,int
dbo,APPL_CHANGE,CONTRACT_END_OLD,nvarchar
dbo,APPL_CHANGE,TicketState,nvarchar
dbo,APPL_CHANGE,TicketCloseReason,nvarchar
dbo,APPL_CHANGE,TicketCloseReasonSuccess,nvarchar
dbo,APPL_CHANGE,PHONE,nvarchar
dbo,APPL_CHANGE,TicketTypeID,int
dbo,APPL_CHANGE,TechDeptID,int
dbo,APPL_CHANGE,COMMENT,nvarchar
dbo,APPL_CHANGE,TicketCloseDate,datetime
dbo,APPL_CHANGE,PROMOTION,int
dbo,APPL_CHANGE,SERVICES,nvarchar
dbo,APPL_CHANGE,SERVICES_STOP,datetime
dbo,APPL_CHANGE,BASE_SERVICE,nvarchar
dbo,APPL_CHANGE,NUMBER,nvarchar
dbo,APPL_CHANGE,ALLOW_ITEMS,nvarchar
